C�digo �nico;Nombre del establecimiento;UBIGEO;Direcci�n;C�digo UE;NORTE;ESTE;Capacidad
18;SANTA CLARA DEL OJEAL;160108;CASERIO DE SANTA CLARA DEL OJEAL;870;-73.19058;-3.62543;2144
19;SARGENTO LORES;160108;LOCALIDAD DE SARGENTO LORES RIO NANAY (QUEBRADA MOMON);870;-73.41136;-3.50736;3990
20;PICURO YACU;160108;CASERIO DE PICUROYACU;870;-73.22465;-3.63336;2303
21;C.S. I-3 9 DE OCTUBRE;160112;CALLE CALLE SAN MARTIN SIN NUMERO DISTRITO BELEN PROVINCIA MAYNAS DEPARTAMENTO LORETO ;870;-73.24459961;-3.76457022;3518
22;CARDOZO;160112;CALLE CALLE QUI�ONES N�300 DISTRITO BELEN PROVINCIA MAYNAS DEPARTAMENTO LORETO ;870;-73.27373847;-3.77469658;2157
23;SAN JUAN DE MIRAFLORES;160113;AV. LOS ANGELES SIN NUMERO;870;-73.28655;-3.77442;2573
24;PROGRESO DE SAN JUAN BAUTISTA;160113;LA PARTICIPACION SIN NUMERO SAN JUAN;870;-73.287;-3.774418;2827
25;AMERICA DE SAN JUAN BAUTISTA;160113;PASAJE PASAJE 12 OCTUBRE AA.HH AMERICA DISTRITO SAN JUAN BAUTISTA PROVINCIA MAYNAS DEPARTAMENTO LORETO ;870;-73.29931008;-3.78788195;3170
26;RUMOCOCHA;160113;OTROS CASERIO RUMOCOCHA DISTRITO SAN JUAN BAUTISTA PROVINCIA MAYNAS DEPARTAMENTO LORETO ;870;-73.31303996;-3.77936771;3446
27;SANTO TOMAS DE SAN JUAN DE BAUTISTA;160113;OTROS ACTUALIZAR DISTRITO SAN JUAN BAUTISTA PROVINCIA MAYNAS DEPARTAMENTO LORETO ;870;-73.33900617;-3.80086987;2870
28;ZUNGAROCOCHA;160113;ACTUALIZAR;870;-73.35632;-3.82961;2907
29;MORALILLO;160113;KILOMETRO 14.5 CARRETERA IQUITOS NAUTA;870;-73.34759;-3.88045;2030
30;P.S. I-1 VARILLAL;160113;CARRETERA CARRETERA IQUITOS-NAUTA KM 14 DISTRITO SAN JUAN BAUTISTA PROVINCIA MAYNAS DEPARTAMENTO LORETO ;870;-73.35122673;-3.88923015;2380
31;SAN PABLO DE CUYANA;160113;MARGEN DERECHO RIO NANAY;870;-73.38793;-3.84573;2107
32;SAN PABLO DE CUYANA;160113;MARGEN DERECHO RIO NANAY;870;-73.38793;-3.84573;3173
33;TAMSHIYACU;160103;ACTUALIZAR;870;-73.157948;-4.003332;3343
34;SANTA ANA DE MUYUY;160103;ACTUALIZAR;870;-73.2136;-3.92383;2109
35;DOS DE MAYO DE FERNANDO LORES;160103;ACTUALIZAR;870;-73.26142;-3.92339;3090
36;AUCAYO;160103;CASERIO AUCAYO;870;-73.155932;-3.858847;3520
37;ESPERANZA TAHUAYO;160103;ACTUALIZAR;870;-73.203208;-4.210405;2227
38;MANGUA DE FERNANDO LORES;160103;ACTUALIZAR;870;-73.27271;-4.14895;2452
39;NUEVO PROGRESO;160103;ACTUALIZAR;870;-73.28816103;-3.78481101;2947
40;YACAPANA I ZONA;160103;ACTUALIZAR;870;-73.331911;-4.171474;3671
41;NUEVO VALENTIN;160103;ACTUALIZAR;870;-73.155831;-4.13447;3198
42;SAN SALVADOR DE OMAGUAS;160103;ACTUALIZAR;870;-73.378128;-4.174686;3551
43;MUNICHS - RIO ITAYA;160112;OTROS CASERIO DE MUNICHS SIN NUMERO DISTRITO BELEN PROVINCIA MAYNAS DEPARTAMENTO LORETO ;870;-73.2560796;-3.7846151;3502
44;SAN ANTONIO - RIO ITAYA;160112;OTROS CASERIO SAN ANTONIO - RIO ITAYA DISTRITO BELEN PROVINCIA MAYNAS DEPARTAMENTO LORETO ;870;-73.16178;-3.77332;2773
45;CABO PANTOJA - R�O AMAZONAS;160101;CASERIO CABO PANTOJA SIN NUMERO;870;-73.1414;-3.68279;2814
46;6 DE OCTUBRE;160112;PROLONGACI�N PROLONGACION YURIMAGUAS SIN NUMERO DISTRITO BELEN PROVINCIA MAYNAS DEPARTAMENTO LORETO ;870;-73.24459961;-3.76457022;2747
47;SOLEDAD DE VILLA BELEN;160112;OTROS CASERIO SOLEDAD DISTRITO BELEN PROVINCIA MAYNAS DEPARTAMENTO LORETO ;870;-73.13383;-3.62485;3210
48;ANGAMOS;160511;ACTUALIZAR;870;-72.87507715;-5.14818528;3481
49;INDIANA;160104;CASERIO DE INDIANA;870;-73.03855748;-3.49955556;2800
50;MANITI I ZONA;160104;CASERIO MANITI I ZONA;870;-72.83957499;-3.52020048;2388
51;SANTA CECILIA;160104;CASERIO DE SANTA CECILIA;870;-72.95728417;-3.60829568;3659
52;YANAYACU BOMBONAJE;160104;CASERIO YANAYACU BOMBONAJE;870;-73.10757498;-3.65124478;3698
53;VAINILLA;160104;CASERIO VAINILLA;870;-72.70910609;-3.5107952;3424
54;SINCHICUY;160104;CASERIO DE SINCHICUY;870;-73.13631239;-3.58710493;3818
55;FRANCISCO DE ORELLANA;160105;CASERIO DE FRANCISCO DE ORELLANA;870;-72.76548514;-3.4216635;3796
56;SANTA MARIA DE MARUPA;160105;CASERIO DE SANTA MARIA DE MARUPA;870;-72.64943578;-3.48690341;2764
57;ORAN;160105;CASERIO YANASHI;870;-72.50816035;-3.47914636;3646
58;YANASHI;160105;CASERIO YANASHI;870;-72.25568419;-3.58767345;2312
59;MAZAN -  NUCLEO  BASE;160106;CASERIO MAZAN;870;-73.09167713;-3.49795605;3192
60;TAMANCO;160106;CASERIO TAMANCO;870;-72.98970328;-3.31561138;2325
61;SANTA CLOTILDE  ( REFERENCIAL);160107;ACTUALIZAR;870;-73.67675328;-2.48939688;2750
62;NUEVA LIBERTAD;160107;ACTUALIZAR;870;-73.13872479;-3.10986745;2540
63;NEGRO URCO;160107;ACTUALIZAR;870;-73.39085124;-3.02047039;3038
64;TACSHA CURARAY;160107;ACTUALIZAR;870;-73.54074886;-2.81318551;2221
65;CAMPO SERIO;160110;ACTUALIZAR;870;-74.70617865;-1.79398104;2984
66;ANGOTEROS;160110;ACTUALIZAR;870;-74.61051508;-1.56863131;3770
67;TEMPESTAD;160110;ACTUALIZAR;870;-74.88385358;-1.28226111;3743
68;CABO PANTOJA DE TORRES CAUSANA;160110;ACTUALIZAR;870;-75.17465847;-0.97041934;2561
69;TORRES CAUSANA;160110;ACTUALIZAR;870;-75.00459122;-1.10448905;2331
70;SAN ANTONIO DE CACAO;160401;ACTUALIZAR;870;-70.32153667;-3.81342833;3335
71;EL ESTRECHO;160801;CASERIO DEL ESTRECHO;870;-72.67166532;-2.44966707;2741
72;REMANSO;160801;CASERIO DE REMANSO;870;-71.29803;-2.37949;3048
73;BETANIA;160801;CASERIO DE BETANIA;870;-71.42941;-2.39395;2965
74;LA FLORIDA;160801;CASERIO DE FLORIDA;870;-73.90821;-1.13979;2252
75;SAN PEDRO DE TOTOYA;160801;CASERIO SAN PEDRO DE TOTOYA;870;-72.1713;-2.46567;3202
76;FLOR DE AGOSTO;160801;CASERIO DE FLOR DE AGOSTO;870;-73.02529;-2.36563;3809
77;SAN FRANCISCO DE ERE;160801;CASERIO DE SAN FRANCISCO DE ERE;870;-73.18139;-2.22761;2352
78;SANTA MERCEDES;160801;CASERIO DE SANTA MERCEDES;870;-73.41101;-1.79007;2342
79;BELLAVISTA DE TENIENTE MANUEL CLAVERO;160803;CASERIO DE BELLAVISTA;870;-74.28477936;-1.00317972;2846
80;SOPLIN VARGAS;160803;CASERIO DE SOPLIN VARGAS;870;-74.675061;-0.374263;3551
81;TRES FRONTERAS;160803;CASERIO DE TRES FRONTERAS;870;-75.22232311;-0.09737184;3496
82;NUEVA ESPERANZA DE TENIENTE MANUEL CLAVERO;160803;CASERIO DE NUEVA ESPERANZA;870;-74.25889886;-0.99615459;2386
83;NAUTA - NUCLEO BASE;160301;CALLE RIOJA N�414;870;-73.57614988;-4.50579542;2258
84;PALIZADA;160301;ACTUALIZAR;870;-74.01375;-4.55743;3187
85;SANTA FE;160301;ACTUALIZAR;870;-73.75621;-4.57484;3086
86;GRAU;160301;ACTUALIZAR;870;-73.45901;-4.42984;2459
87;SAN REGIS;160301;ACTUALIZAR;870;-73.90528637;-4.51254123;2221
88;SANTA RITA DE CASTILLA;160302;POBLADO DE SANTA RITA DE CASTILLA - RIO MARA�ON;870;-74.38039053;-4.59061924;3773
89;SANTA ISABEL DE YUMBATURO;160302;ACTUALIZAR;870;-74.25813893;-4.58150907;3803
90;SANTA ROSA DE LAGARTO;160302;ACTUALIZAR;870;-74.54530638;-4.50349995;3126
91;INTUTO;160303;ACTUALIZAR;870;-74.783292;-3.49001;2014
92;LIBERTAD DEL TIGRE;160303;ACTUALIZAR;870;-74.407705;-3.799972;2883
93;PAICHE PLAYA;160303;ACTUALIZAR;870;-75.298476;-3.029514;2543
94;12 DE OCTUBRE;160303;ACTUALIZAR;870;-75.80234;-2.38769;3053
95;VILLA TROMPETEROS;160304;CASERIO VILLA TROMPETERO;870;-75.060695;-3.806327;2418
96;PAMPA HERMOSA DE TROMPETEROS;160304;ACTUALIZAR;870;-75.79719;-3.012;3084
97;PROVIDENCIA;160304;ACTUALIZAR;870;-74.64935;-3.77295;2970
98;MAYPUCO;160305;MARGEN DERECHA DEL RIO MARA�ON;870;-75.12029996;-4.82842962;3039
99;NUEVA ESPERANZA DE URARINAS;160305;ACTUALIZAR;870;-75.03228;-4.80601;2999
100;CONCORDIA;160305;ACTUALIZAR;870;-74.76706889;-4.58626715;2654
101;REFORMA;160305;ACTUALIZAR;870;-75.67237;-4.65436;3544
102;PEVAS;160402;COMUNIDAD DE PEVAS RIO AMAZONAS;870;-71.86058167;-3.31967333;3413
103;HUANTA;160402;ACTUALIZAR;870;-72.051;-3.48666833;3018
104;PUCAURQUILLO;160402;ACTUALIZAR;870;-71.916565;-3.33362833;2905
105;BRILLO NUEVO;160402;ACTUALIZAR;870;-71.994195;-3.22624333;3568
106;SAN FRANCISCO DE PEVAS;160402;ACTUALIZAR;870;-71.70101;-3.73050667;2797
107;CABALLOCOCHA;160401;CALLE PROGRESO 425;870;-70.51696667;-3.90842333;3650
108;CHIMBOTE;160401;ACTUALIZAR;870;-70.77975333;-3.93012167;3771
109;ISLA DEL TIGRE;160401;ACTUALIZAR;870;-70.64328167;-3.83265667;3481
110;CUSHILLOCOCHA;160401;ACTUALIZAR;870;-70.44961721;-3.94277517;2923
111;BELLAVISTA CALLARU;160401;ACTUALIZAR;870;-70.25112;-4.05256667;2374
112;SAN PABLO DE RAMON CASTILLA;160404;CASERIO DE SAN PABLO;870;-71.10453333;-4.01976667;2602
113;SANTA ELENA DE IMAZA;160404;CASERIO DE SANTA ELENA DE IMAZA;870;-71.41136667;-3.881975;3978
114;ISLANDIA DEL YAVARI;160403;ACTUALIZAR;870;-70.04295178;-4.35246203;2738
115;SANTA TERESA;160403;COMUNIDAD DE SANTA TERESA;870;-70.51591379;-4.13983835;2511
116;NUEVA ESPERANZA DEL YAVARI;160403;ACTUALIZAR;870;-71.959017;-4.333044;2755
117;SANTA ELENA;160502;ACTUALIZAR;870;-74.08503764;-6.01939646;2515
118;FATIMA;160502;ACTUALIZAR;870;-74.410817;-6.689668;3151
119;SAN ANTONIO DE FORTALEZA;160502;ACTUALIZAR;870;-74.400512;-6.763287;2845
120;FLOR DE PUNGA;160503;CASERIO DE FLOR DE PUNGA;870;-74.15770233;-5.4046023;2316
121;HUATAPI;160503;ACTUALIZAR;870;-74.0906582;-5.31024205;3772
122;SINTICO;160504;CASERIO DE SINTICO;870;-74.17951863;-5.55990652;3387
123;TAMANCO VIEJO;160504;CASERIO TAMANCO VIEJO;870;-74.28282515;-5.79426761;3183
124;GENARO HERRERA;160510;CASERIO DE JENARO HERRERA SIN NUMERO;870;-73.66463391;-4.90499422;3549
125;SAN ROQUE DE MAQUIA;160505;ACTUALIZAR;870;-74.59743523;-5.83218091;3334
126;ARICA VIEJO;160505;ACTUALIZAR;870;-74.77802043;-6.43337468;2250
127;NUEVO JUNIN;160505;ACTUALIZAR;870;-74.50356872;-5.688304;2912
128;PIURI ISLA;160505;ACTUALIZAR;870;-74.55526047;-5.79869549;3886
129;NUEVO SAN JOSE;160505;ACTUALIZAR;870;-74.67638179;-5.94161739;3829
130;NUEVO LIBERAL;160505;CASERIO NUEVO LIBERAL;870;-74.66693626;-5.61558488;3694
131;VICTORIA;160505;CASERIO DE VICTORIA;870;-74.68063238;-5.65916416;3341
132;OBRERO;160505;CASERIO OBRERO;870;-74.65945644;-5.77186338;3592
133;BOLIVAR DEL MAQUIA;160505;OTROS CASERIO DE SIMON BOLIVAR DISTRITO MAQUIA PROVINCIA REQUENA DEPARTAMENTO LORETO ;870;-74.56951403;-5.56918843;3779
134;BRETA�A;160506;CASERIO DE BRETA�A;870;-74.34552947;-5.25607497;3691
135;SAN CARLOS DEL PUINHUA;160506;CASERIO DE SAN CARLOS;870;-74.36071275;-5.33680584;2238
136;MANCO CAPAC;160506;COMUNIDAD DE MANCO CAPAC RIO PUINAHUA;870;-74.2305585;-5.12397472;2973
137;HUACRACHIRO;160506;CASERIO DE HUACRACHIRO;870;-74.41637167;-5.49540392;3028
138;REQUENA;160501;MARTIRES DEL PETROLEO S/N;870;-73.8569342;-5.06288155;2464
139;HUARMI ISLA;160501;ACTUALIZAR;870;-74.06525768;-5.07027513;2535
140;GALICIA;160501;ACTUALIZAR;870;-73.86352813;-5.41868116;2197
141;BAGAZAN DE SAPUENA;160507;CASERIO DE BAGAZAN;870;-73.53344;-4.725472;2788
142;EL SOL;160507;CASERIO EL SOL;870;-73.54257;-4.62121;2995
143;CURINGA;160508;ACTUALIZAR;870;-73.692549;-6.008346;2707
144;CAPANAHUA;160508;ACTUALIZAR;870;-73.799714;-6.444075;3822
145;SAN PEDRO;160509;ACTUALIZAR;870;-74.04504943;-5.83413999;2023
146;IBERIA;160509;CASERIO DE IBERIA;870;-74.13849198;-5.69352557;3675
147;JUANCITO DE SARAYACU;160605;ACTUALIZAR;870;-74.85340813;-6.03194009;2702
148;CONTAMANA;160601;JR. BUENA VENTURA MARQUEZ N� 504;870;-75.00736135;-7.34801882;3375
149;PROGRESO DE CONTAMANA;160601;ACTUALIZAR;870;-75.03402;-7.5227;3688
150;HOLANDA;160601;ACTUALIZAR;870;-74.98431;-7.57649;3069
151;TUMBES;160601;ACTUALIZAR;870;-74.99149;-7.62903;3141
152;NUEVO EDEN;160601;ACTUALIZAR;870;-75.48205;-7.87177;3576
153;CHARASMANA;160601;ACTUALIZAR;870;-75.36945;-7.84735;3648
154;INAHUAYA;160602;ACTUALIZAR;870;-75.26500839;-7.11515964;3292
155;TIRUNTAN;160603;COMUNIDAD DE TIRUNTAN - RIO UCAYALI;870;-74.84089759;-7.94643339;2593
156;ROHABOYA;160603;ACTUALIZAR;870;-74.92381466;-7.75861331;2495
157;PAHOYAN;160603;ACTUALIZAR;870;-75.01788447;-7.84771353;2924
158;MARISCAL CASTILLA DE PADRE MARQUEZ;160603;ACTUALIZAR;870;-74.7861425;-7.99912338;2000
159;ALFONSO UGARTE;160603;ACTUALIZAR;870;-74.81174535;-7.8327192;3375
160;PAMPA HERMOZA DE PAMPA HERMOZA;160604;POBLADO DE PAMPA HERMOZA - RIO UCAYALI;870;-75.29771701;-7.2016648;3760
161;LA PEDRERA;160605;ACTUALIZAR;870;-74.68518359;-6.00052444;3842
162;MONTE BELLO;160605;ACTUALIZAR;870;-75.16775902;-6.16331069;2904
163;MAHUIZO;160605;ACTUALIZAR;870;-75.09378641;-6.34495156;2210
164;NUEVO DOS DE MAYO;160605;ACTUALIZAR;870;-75.16281342;-6.42155936;2932
165;DOS DE MAYO DE SARAYACU;160605;ACTUALIZAR;870;-75.11657718;-6.39411278;3348
166;TIERRA BLANCA;160605;ACTUALIZAR;870;-75.17958948;-6.54976828;3614
167;HUA�UNA;160605;ACTUALIZAR;870;-74.71092039;-5.94174287;3887
168;PUERTO ENRIQUE;160605;ACTUALIZAR;870;-74.83960591;-5.92262698;3963
169;ORELLANA;160606;LOCALIDAD DE ORELLANA;870;-75.15865947;-6.91476797;2074
170;SAN GABRIEL DE VARADERO;160202;LOCALIDAD SAN GABRIEL DE VARADERO;871;-73.90534481;-4.5125192;3185
171;BALSAPUERTO;160202;LOCALIDAD BALSAPUERTO;871;-76.55968496;-5.8348331;3520
172;VISTA ALEGRE DE BALSAPUERTO;160202;COMUNIDAD VISTA ALEGRE;871;-76.63920539;-5.67540321;2973
173;P.S.NUEVA VIDA;160202;COMUNIDAD NUEVA VIDA;871;-76.76252325;-5.49306034;2034
174;PROGRESO DE BALSAPUERTO;160202;COMUNIDAD PROGRESO;871;-76.5491232;-5.64917888;3730
175;JEBEROS;160205;LOCALIDAD DE JEBEROS;871;-76.28408123;-5.29104902;3418
176;BELLAVISTA DE JEBEROS;160205;COMUNIDAD BELLAVISTA;871;-76.46456037;-5.30451274;2161
177;C.S. I-3 LAGUNAS;160206;LOCALIDAD LAGUNAS;871;-75.67552385;-5.22445921;3387
178;PUCACURO DE LAGUNAS;160206;COMUNIDAD PUCACURO;871;-75.54769293;-5.04728742;2223
179;P.S. I-1 PUERTO VICTORIA;160206;COMUNIDAD PUERTO VICTORIA;871;-75.59497671;-5.06995253;2419
180;ARAHUANTE;160206;COMUNIDAD ARAHUANTE;871;-75.72586717;-5.31090553;2621
181;BARRIO CENTRAL;160206;BARRIO CENTRAL - LAGUNAS;871;-75.68246704;-5.23916848;2193
182;CHARUPA;160206;COMUNIDAD CHARUPA;871;-75.8730797;-5.00064174;3915
183;P.S. NUEVO MUNDO;160206;COMUNIDAD NUEVO MUNDO;871;-76.01161012;-4.80634583;3796
184;HUANCAYO;160206;COMUNIDAD HUANCAYO;871;-75.95701303;-4.65673909;2099
185;TAMARATE;160206;COMUNIDAD TAMARATE;871;-75.82048758;-5.31212492;2923
186;C.S. SANTA CRUZ;160210;LOCALIDAD SANTA CRUZ;871;-75.8606824;-5.51222726;2195
187;ACHUAL TIPISCHA;160210;COMUNIDAD ACHUAL TIPISCHA;871;-75.81551015;-5.45207246;3221
188;LAGO NARANJAL;160210;COMUNIDAD LAGO NARANJAL;871;-75.87816742;-5.43800419;3754
189;P. S. JORGE CHAVEZ;160211;COMUNIDAD JORGE CHAVEZ;871;-76.02704287;-6.01569057;3049
190;CUIPARI;160211;COMUNIDAD CUIPARI;871;-75.96523941;-5.95467567;2633
191;SONAPI;160211;ACTUALIZAR;871;-75.93301535;-5.99701166;3909
192;SHUCUSHYACU;160211;LOCALIDAD SHUCUSHYACU;871;-75.87608065;-6.01626018;3675
193;HOSPITAL SANTA GEMA DE  YURIMAGUAS;160201;JIR�N JR. PROGRESO 305 - 307 DISTRITO YURIMAGUAS PROVINCIA ALTO AMAZONAS DEPARTAMENTO LORETO ;1407;-76.10645167;-5.89353;2728
194;CENTRO ESPEC.MATERNO INFAN.AGUAMIRO;160201;CALLE UCAYALI S/N;871;-76.11304333;-5.88774833;3433
195;PAMPA HERMOZA DE YURIMAGUAS;160201;ACTUALIZAR;871;-76.26957;-6.10275;2482
196;PROVIDENCIA DE YURIMAGUAS;160201;COMUNIDAD PROVIDENCIA;871;-76.0103;-5.72589;2988
197;SANTA MARIA;160201;COMUNIDAD DE SANTA MARIA;871;-76.11411;-5.77113;2406
198;NUEVA ERA;160201;COMUNIDAD NUEVA ERA;871;-76.21209;-5.7869;2646
199;ZAPOTE;160201;COMUNIDAD DE ZAPOTE;871;-76.07033;-5.8988;2770
200;LAGO SANANGO;160201;COMUNIDAD LAGO SANANGO;871;-76.06417;-5.94155;2288
201;ALTO MOHENA;160201;COMUNIDAD ALTO MOHENA;871;-76.03579;-5.888;2716
202;SAN PEDRO DE ZAPOTE;160201;COMUNIDAD SAN PEDRO DE ZAPOTE;871;-76.18504;-5.75685;3797
203;JEBERILLOS;160201;COMUNIDAD DE JEBERILLOS;871;-76.23984;-5.73908;3757
204;ACHUAL LIMON;160201;COMUNIDAD ACHUAL LIMON;871;-76.207117;-5.870252;3096
205;MUNICHIS DE YURIMAGUAS;160201;COMUNIDAD MUNICHIS;871;-76.2308;-5.8925;3301
206;VARADERILLO;160201;COMUNIDAD VARADERILLO;871;-76.30996;-5.86912;3956
207;P.S. LA LOMA;160201;CALLE COMERCIO 821 - BARRIO LA LOMA;871;-75.90825;-5.69345;2240
208;TUPAC AMARU DE YURIMAGUAS;160201;COMUNIDAD TUPAC AMARU;871;-76.11333;-5.98019;3793
209;PUERTO PERU;160201;COMUNIDAD PUERTO PERU;871;-76.17695;-6.04629;2979
210;COTOYACU;160201;COMUNIDAD COTOYACU;871;-76.18898;-6.05174;2941
211;CARRETERA KM 1.5;160201;BARRIO LA CARRETERA - YURIMAGUAS;871;-75.8678;-5.70154;2847
212;AA.HH. 30 DE AGOSTO KM. 17;160201;COMUNIDAD  30 DE AGOSTO KM. 17;871;-76.18056;-5.97216;2515
213;SAN JUAN DE PAMPLONA;160201;COMUNIDAD SAN JUAN DE PAMPLONA;871;-76.25779;-6.03655;3099
214;SANTO TOMAS DE YURIMAGUAS;160201;COMUNIDAD SAN TOMAS;871;-76.25037;-6.00774;2655
215;GRAU KM.40;160201;COMUNIDAD GRAU KM.40;871;-76.24155;-6.0727;2498
216;P.S. NUEVA ALIANZA;160201;COMUNIDAD NUEVA ALIANZA;871;-76.31155;-6.05266;3082
217;SAN FRANCISCO PAMPAYACU;160201;COMUNIDAD SAN FRANCISCO PAMPAYACU;871;-76.32845;-6.04066;3350
218;SAN LORENZO - NUCLEO BASE;160701;BARRIO HUACACHINA - SAN LORENZO;1391;-76.56119833;-4.82733167;2226
219;LIBERTAD DE BARRANCA;160701;COMUNIDAD DE BARRANCA;1391;-76.13539333;-5.00287167;2920
220;INDUSTRIAL;160701;COMUNIDAD INDUSTRIAL;1391;-76.39769833;-4.92315;3128
221;TIGRE PLAYA;160701;COMUNIDAD TIGRE PLAYA;1391;-76.82301833;-4.81050167;3854
222;BUENA VISTA DE BARRANCA;160701;COMUNIDAD COPAL;1391;-77.24982;-5.01436333;2123
223;SANTA MARIA DE CAHUAPANAS;160702;LOCALIDAD SANTA MARIA DE CAHUAPANAS;1391;-77.037905;-5.24814667;3988
224;BARRANQUITA DE CAHUAPANAS;160702;COMUNIDAD BARRANQUITA;1391;-76.93876167;-5.12837167;2277
225;SAN MIGUEL;160702;COMUNIDAD SAN MIGUEL;1391;-76.79266167;-5.358285;3953
226;PALMICHE;160702;COMUNIDAD PALMICHE;1391;-76.78570833;-5.24569333;3204
227;KAUPAN;160702;COMUNIDAD KAUPAN;1391;-76.98625167;-5.28720167;3229
228;SAN ANTONIO DE CAHUAPANAS;160702;COMUNIDAD SAN ANTONIO;1391;-76.51454167;-4.907215;3557
229;SARAMIRIZA;160703;LOCALIDAD SARAMIRIZA;1391;-77.42026667;-4.56787667;2157
230;BORJA;160703;COMUNIDAD BORJA;1391;-77.53982167;-4.47032333;3082
231;FELIX FLORES;160703;COMUNIDAD FELIX FLORES;1391;-77.50508833;-4.64201167;3885
232;SACHA PAPA;160703;COMUNIDAD SACHAPAPA;1391;-77.57221333;-4.76698667;3661
233;ATAHUALPA;160703;LOCALIDAD ATAHUALPA;1391;-77.48569;-4.85160667;2927
234;PUERTO AMERICA DE MORONA;160704;LOCALIDAD PUERTO AMERICA;1391;-77.06246167;-4.72936;2274
235;PUERTO ALEGRIA DE MORONA;160704;COMUNIDAD PUERTO ALEGRIA;1391;-77.216575;-4.322785;3541
236;PIJUAYAL;160704;COMUNIDAD PIJUAYAL;1391;-77.16676;-3.86974667;2252
237;CABALLITO;160704;COMUNIDAD CABALLITO;1391;-77.286745;-3.84343;3462
238;SAN JUAN DEL MORONA;160704;COMUNIDAD SAN JUAN;1391;-77.64501333;-3.053295;3615
239;PANINTZA;160704;COMUNIDAD PANINTZA;1391;-77.45123167;-3.05380667;3702
240;SHINGUITO;160704;COMUNIDAD SHINGUITO;1391;-77.54559333;-3.49988333;2247
241;NUEVO ANDOAS;160706;COMUNIDAD NUEVO ANDOAS;1391;-76.46119667;-2.80377333;3316
242;ANDOAS VIEJO;160706;COMUNIDAD ANDOAS VIEJO;1391;-76.40109167;-2.90582667;3052
243;ALIANZA CRISTIANA;160706;COMUNIDAD ALIANZA CRISTIANA;1391;-76.43263333;-3.47511333;2987
244;MUSHACARUSHA;160705;COMUNIDAD MUSAKARUSHA;1391;-76.65709167;-4.44992333;2161
245;CHUINTAR;160705;COMUNIDAD CHUINTAR;1391;-76.56082333;-4.82837167;3680
246;SABALOYACU;160706;COMUNIDAD SABALOYACU;1391;-76.33297;-3.30452167;3371
247;LOBOYACU;160706;COMUNIDAD LOBOYACU;1391;-76.35855333;-3.66712667;2731
248;WASHIENTZA;160706;COMUNIDAD WASHIENTZA;1391;-76.56989667;-3.33481667;3634
249;NUEVO PROGRESO - HUITOYACU;160705;COMUNIDAD NUEVO PROGRESO;1391;-76.65293833;-4.07195167;3354
250;NUEVA YARINA;160705;COMUNIDAD NUEVA YARINA;1391;-76.930675;-4.25238;3666
251;ULLPAYACU;160705;LOCALIDAD ULLPAYACU;1391;-76.58828333;-4.65086;3066
252;UWIJINT;160705;COMUNIDAD UWIJINT;1391;-77.06634833;-3.20218;3183
253;CENTRO FUERTE;160108;CASERIO DE CENTRO FUERTE;870;-73.31953;-3.64591;3786
